old_province_name,new_province_code,new_province_name,merge_type,notes
Hà Giang,tuyen_quang,Tuyên Quang,merged,
Tuyên Quang,tuyen_quang,Tuyên Quang,merged,
Yên Bái,lao_cai,Lào Cai,merged,
Lào Cai,lao_cai,Lào Cai,merged,
Bắc Kạn,thai_nguyen,Thái Nguyên,merged,
Thái Nguyên,thai_nguyen,Thái Nguyên,merged,
Vĩnh Phúc,phu_tho,Phú Thọ,merged,
Hòa Bình,phu_tho,Phú Thọ,merged,
Phú Thọ,phu_tho,Phú Thọ,merged,
Bắc Giang,bac_ninh,Bắc Ninh,merged,
Bắc Ninh,bac_ninh,Bắc Ninh,merged,
Thái Bình,hung_yen,Hưng Yên,merged,
Hưng Yên,hung_yen,Hưng Yên,merged,
Hải Phòng,hai_phong,Hải Phòng,merged,thành phố trực thuộc TW
Hải Dương,hai_phong,Hải Phòng,merged,
Hà Nam,ninh_binh,Ninh Bình,merged,
Nam Định,ninh_binh,Ninh Bình,merged,
Ninh Bình,ninh_binh,Ninh Bình,merged,
Quảng Bình,quang_tri,Quảng Trị,merged,
Quảng Trị,quang_tri,Quảng Trị,merged,
Đà Nẵng,da_nang,Đà Nẵng,merged,thành phố trực thuộc TW
Quảng Nam,da_nang,Đà Nẵng,merged,
Kon Tum,quang_ngai,Quảng Ngãi,merged,
Quảng Ngãi,quang_ngai,Quảng Ngãi,merged,
Bình Định,gia_lai,Gia Lai,merged,
Gia Lai,gia_lai,Gia Lai,merged,
Ninh Thuận,khanh_hoa,Khánh Hòa,merged,
Khánh Hòa,khanh_hoa,Khánh Hòa,merged,
Đắk Nông,lam_dong,Lâm Đồng,merged,
Bình Thuận,lam_dong,Lâm Đồng,merged,
Lâm Đồng,lam_dong,Lâm Đồng,merged,
Phú Yên,dak_lak,Đắk Lắk,merged,
Đắk Lắk,dak_lak,Đắk Lắk,merged,
TP. Hồ Chí Minh,ho_chi_minh,Hồ Chí Minh,merged,thành phố trực thuộc TW
Bà Rịa - Vũng Tàu,ho_chi_minh,Hồ Chí Minh,merged,
Bình Dương,ho_chi_minh,Hồ Chí Minh,merged,
Bình Phước,dong_nai,Đồng Nai,merged,
Đồng Nai,dong_nai,Đồng Nai,merged,
Long An,tay_ninh,Tây Ninh,merged,
Tây Ninh,tay_ninh,Tây Ninh,merged,
Cần Thơ,can_tho,Cần Thơ,merged,thành phố trực thuộc TW
Sóc Trăng,can_tho,Cần Thơ,merged,
Hậu Giang,can_tho,Cần Thơ,merged,
Bến Tre,vinh_long,Vĩnh Long,merged,
Trà Vinh,vinh_long,Vĩnh Long,merged,
Vĩnh Long,vinh_long,Vĩnh Long,merged,
Tiền Giang,dong_thap,Đồng Tháp,merged,
Đồng Tháp,dong_thap,Đồng Tháp,merged,
Bạc Liêu,ca_mau,Cà Mau,merged,
Cà Mau,ca_mau,Cà Mau,merged,
Kiên Giang,an_giang,An Giang,merged,
An Giang,an_giang,An Giang,merged,
Cao Bằng,cao_bang,Cao Bằng,unchanged,
Điện Biên,dien_bien,Điện Biên,unchanged,
Hà Tĩnh,ha_tinh,Hà Tĩnh,unchanged,
Lai Châu,lai_chau,Lai Châu,unchanged,
Lạng Sơn,lang_son,Lạng Sơn,unchanged,
Nghệ An,nghe_an,Nghệ An,unchanged,
Quảng Ninh,quang_ninh,Quảng Ninh,unchanged,
Thanh Hóa,thanh_hoa,Thanh Hóa,unchanged,
Sơn La,son_la,Sơn La,unchanged,
Hà Nội,ha_noi,Hà Nội,unchanged,thành phố trực thuộc TW
Thừa Thiên Huế,hue,Huế,unchanged,đổi tên từ Thừa Thiên Huế (01/01/2025) trước khi trở thành TP trực thuộc TW; ranh giới không đổi ở đợt sáp nhập tỉnh 07/2025
