window,variant,mase_pooled,mase_h1,mase_h3,mase_h6,reg_Bac,reg_Trung,reg_Nam,reg_avg,outbreak_mase,outbreak_bias,bias_all
outer,S0_baseline,0.9325,0.446,0.9786,1.6093,1.9763,0.9789,0.8422,1.2658,2.9148,-17.91,-2.2252
outer,S1_neighbors,0.9222,0.4439,0.9748,1.6022,1.8871,0.9628,0.8435,1.2311,2.8683,-17.4379,-2.0863
outer,S2_national,0.9202,0.4507,0.9557,1.6013,2.0436,0.9618,0.8282,1.2778,2.8366,-17.495,-2.0587
outer,S3_all_spatial,0.9127,0.4521,0.9442,1.6004,1.9137,0.9497,0.8344,1.2326,2.8089,-17.1286,-1.9849
outer,S4_v3_spatial,0.9171,0.4744,1.0112,1.5074,1.3233,1.0211,0.8182,1.0542,2.8951,-17.9754,-2.0603
outer,S5_v3,0.9254,0.5099,0.9782,1.5172,1.4162,1.0278,0.8218,1.0886,2.9281,-18.023,-2.0396
validation,S0_baseline,0.5215,0.333,0.5131,0.8001,0.7589,0.2247,0.8655,0.6164,4.6052,-30.1,-2.0657
validation,S1_neighbors,0.5235,0.3367,0.5153,0.8026,0.6924,0.2298,0.8688,0.597,4.5977,-30.3144,-2.0878
validation,S2_national,0.5199,0.3537,0.5023,0.7887,0.7876,0.2282,0.8556,0.6238,4.5481,-29.8821,-1.9929
validation,S3_all_spatial,0.5212,0.351,0.5084,0.7901,0.7153,0.2308,0.861,0.6024,4.5398,-30.1038,-2.0067
validation,S4_v3_spatial,0.5202,0.354,0.5093,0.7799,0.4226,0.23,0.8806,0.511,4.644,-30.8317,-1.9624
validation,S5_v3,0.5197,0.3363,0.51,0.796,0.4762,0.2177,0.8896,0.5279,4.6941,-30.9631,-2.057
