horizon,base_rate,n,method,PR_AUC,ROC_AUC,Brier,ECE,Recall@P0.8,Prec@R0.8
1,0.3125,272,poisson_raw,0.6681,0.7606,0.2584,0.2543,0.4353,0.4892
1,0.3125,272,platt,0.6642,0.7464,0.1732,0.0785,0.4118,0.3665
1,0.3125,272,isotonic,0.6301,0.7576,0.1717,0.0682,0.4118,0.3264
1,0.3125,272,residual,0.6588,0.746,0.2111,0.192,0.4118,0.3665
1,0.3125,272,platt_online,0.6527,0.7378,0.1737,0.0722,0.3882,0.3988
1,0.3125,272,isotonic_online,0.6422,0.7355,0.1687,0.0436,0.2824,0.3804
1,0.3125,272,score_ratio(pred/thr),0.6298,0.7317,,,0.3529,0.4286
2,0.3419,272,poisson_raw,0.6441,0.7562,0.2535,0.2484,0.3441,0.5068
2,0.3419,272,platt,0.6843,0.7446,0.1978,0.0961,0.3441,0.4386
2,0.3419,272,isotonic,0.6107,0.739,0.1846,0.0924,0.3333,0.3419
2,0.3419,272,residual,0.6836,0.7448,0.2087,0.1808,0.3333,0.4335
2,0.3419,272,platt_online,0.6734,0.7315,0.1917,0.0712,0.4409,0.4286
2,0.3419,272,isotonic_online,0.6588,0.735,0.1789,0.0556,0.4194,0.4043
2,0.3419,272,score_ratio(pred/thr),0.6744,0.7524,,,0.3333,0.4529
3,0.3529,272,poisson_raw,0.6419,0.7502,0.2932,0.2876,0.4271,0.4904
3,0.3529,272,platt,0.6648,0.7218,0.2254,0.1403,0.3021,0.414
3,0.3529,272,isotonic,0.5892,0.7122,0.2107,0.1116,0.1042,0.3582
3,0.3529,272,residual,0.6623,0.7217,0.2361,0.2045,0.3021,0.4118
3,0.3529,272,platt_online,0.6697,0.715,0.215,0.1199,0.3125,0.4171
3,0.3529,272,isotonic_online,0.6379,0.7071,0.2037,0.094,0.2604,0.3667
3,0.3529,272,score_ratio(pred/thr),0.6837,0.7534,,,0.3021,0.4969
6,0.3971,272,poisson_raw,0.6286,0.706,0.2855,0.2855,0.0,0.4944
6,0.3971,272,platt,0.5766,0.6646,0.2826,0.2093,0.0463,0.4183
6,0.3971,272,isotonic,0.5273,0.6826,0.2529,0.1659,0.0,0.4045
6,0.3971,272,residual,0.5753,0.6643,0.2598,0.2239,0.0463,0.4183
6,0.3971,272,platt_online,0.466,0.5886,0.2812,0.2057,0.0093,0.4097
6,0.3971,272,isotonic_online,0.524,0.6667,0.2533,0.1641,0.0,0.4045
6,0.3971,272,score_ratio(pred/thr),0.6406,0.7315,,,0.1667,0.5249
all,0.3511,1088,poisson_raw,0.6405,0.7445,0.2727,0.2637,0.2723,0.4797
all,0.3511,1088,platt,0.5751,0.6502,0.2198,0.123,0.2068,0.4048
all,0.3511,1088,isotonic,0.6065,0.7327,0.205,0.1034,0.1728,0.4699
all,0.3511,1088,residual,0.6461,0.7243,0.2289,0.1923,0.2147,0.4074
all,0.3511,1088,platt_online,0.5762,0.6406,0.2154,0.1061,0.2513,0.3937
all,0.3511,1088,isotonic_online,0.6102,0.723,0.2012,0.0794,0.1806,0.4636
all,0.3511,1088,score_ratio(pred/thr),0.6596,0.7471,,,0.288,0.4829
