horizon,base,method,PR_AUC,ROC_AUC,Recall@P0.8,Prec@R0.8,Brier,ECE
1,0.3125,classifier,0.6877,0.7956,0.3765,0.5231,0.1708,0.0826
1,0.3125,derived(reg),0.6642,0.7464,0.4118,0.3665,0.1687,0.0436
2,0.3419,classifier,0.6354,0.7393,0.2796,0.4471,0.2092,0.1115
2,0.3419,derived(reg),0.6843,0.7446,0.3441,0.4386,0.1789,0.0556
3,0.3529,classifier,0.616,0.7383,0.1771,0.4503,0.204,0.1277
3,0.3529,derived(reg),0.6648,0.7218,0.3021,0.414,0.2037,0.094
6,0.3971,classifier,0.6369,0.7483,0.2963,0.5238,0.2041,0.1213
6,0.3971,derived(reg),0.5766,0.6646,0.0463,0.4183,0.2533,0.1641
all,0.3511,classifier,0.6461,0.7584,0.2958,0.4718,0.197,0.089
all,0.3511,derived(reg),0.6461,0.7203,0.1885,0.3873,0.2012,0.0794
