horizon,lever,PR_AUC,ROC_AUC,Recall@P0.8,Prec@R0.8
1,A0,0.6877,0.7956,0.3765,0.5231
1,A1,0.6757,0.7951,0.4118,0.4894
1,A2,0.6303,0.7785,0.3529,0.4626
1,A3,0.7249,0.7965,0.4118,0.4722
2,A0,0.6354,0.7393,0.2796,0.4471
2,A1,0.6186,0.7334,0.1828,0.4463
2,A2,0.6358,0.7485,0.2796,0.4438
2,A3,0.7088,0.7667,0.3333,0.5137
3,A0,0.616,0.7383,0.1771,0.4503
3,A1,0.6127,0.7355,0.1667,0.4432
3,A2,0.636,0.7483,0.2812,0.4514
3,A3,0.6967,0.7519,0.3542,0.5099
6,A0,0.6369,0.7483,0.2963,0.5238
6,A1,0.642,0.7516,0.2778,0.5266
6,A2,0.6729,0.7669,0.2222,0.5349
6,A3,0.6529,0.7265,0.2315,0.486
all,A0,0.6461,0.7584,0.2958,0.4718
all,A1,0.6377,0.7575,0.2016,0.4835
all,A2,0.6406,0.7603,0.2749,0.4655
all,A3,0.6937,0.7596,0.3377,0.5
